127.0.0.1 - - [21/May/2019:21:14:07 +0700] "HEAD / HTTP/1.1" 302 -
127.0.0.1 - - [21/May/2019:21:14:12 +0700] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [21/May/2019:21:14:12 +0700] "GET /install/index.php HTTP/1.1" 200 40136
127.0.0.1 - - [21/May/2019:21:14:16 +0700] "GET /install/view/javascript/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
127.0.0.1 - - [21/May/2019:21:14:16 +0700] "GET /install/view/javascript/bootstrap/css/bootstrap.css HTTP/1.1" 200 125975
127.0.0.1 - - [21/May/2019:21:14:16 +0700] "GET /install/view/javascript/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 17780
127.0.0.1 - - [21/May/2019:21:14:16 +0700] "GET /install/view/stylesheet/stylesheet.css HTTP/1.1" 200 5836
127.0.0.1 - - [21/May/2019:21:14:16 +0700] "GET /install/view/javascript/bootstrap/js/bootstrap.js HTTP/1.1" 200 58411
127.0.0.1 - - [21/May/2019:21:14:16 +0700] "GET /install/view/image/logo.png HTTP/1.1" 200 4141
127.0.0.1 - - [21/May/2019:21:14:17 +0700] "GET /install/language/en-gb/en-gb.png HTTP/1.1" 200 699
127.0.0.1 - - [21/May/2019:21:14:17 +0700] "GET /install/view/image/background.png HTTP/1.1" 200 214
127.0.0.1 - - [21/May/2019:21:14:18 +0700] "GET /favicon.ico HTTP/1.1" 404 1254
127.0.0.1 - - [21/May/2019:21:14:22 +0700] "POST /install/index.php?route=common/column_left/language HTTP/1.1" 302 -
127.0.0.1 - - [21/May/2019:21:14:22 +0700] "GET /install/index.php?route=install/step_1 HTTP/1.1" 200 40136
127.0.0.1 - - [21/May/2019:21:14:27 +0700] "POST /install/index.php?route=common/column_left/language HTTP/1.1" 302 -
127.0.0.1 - - [21/May/2019:21:14:27 +0700] "GET /install/index.php?route=install/step_1 HTTP/1.1" 200 40136
127.0.0.1 - - [21/May/2019:21:14:30 +0700] "POST /install/index.php?route=install/step_1 HTTP/1.1" 302 -
127.0.0.1 - - [21/May/2019:21:14:30 +0700] "GET /install/index.php?route=install/step_2 HTTP/1.1" 200 10504
127.0.0.1 - - [21/May/2019:21:14:30 +0700] "GET /install/view/javascript/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
127.0.0.1 - - [21/May/2019:21:14:47 +0700] "POST /install/index.php?route=install/step_2 HTTP/1.1" 200 10790
127.0.0.1 - - [21/May/2019:21:15:31 +0700] "POST /install/index.php?route=install/step_2 HTTP/1.1" 302 -
127.0.0.1 - - [21/May/2019:21:15:31 +0700] "GET /install/index.php?route=install/step_3 HTTP/1.1" 200 6763
127.0.0.1 - - [21/May/2019:21:16:40 +0700] "POST /install/index.php?route=install/step_3 HTTP/1.1" 302 -
127.0.0.1 - - [21/May/2019:21:16:46 +0700] "GET /install/index.php?route=install/step_4 HTTP/1.1" 200 5491
127.0.0.1 - - [21/May/2019:21:16:47 +0700] "GET /install/view/image/openbay_pro.gif HTTP/1.1" 200 5498
127.0.0.1 - - [21/May/2019:21:16:47 +0700] "GET /install/view/image/amazon-pay.png HTTP/1.1" 200 11718
127.0.0.1 - - [21/May/2019:21:18:30 +0700] "GET / HTTP/1.1" 200 24587
127.0.0.1 - - [21/May/2019:21:18:32 +0700] "GET /catalog/view/javascript/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [21/May/2019:21:18:32 +0700] "GET /catalog/view/theme/default/stylesheet/stylesheet.css HTTP/1.1" 200 15785
127.0.0.1 - - [21/May/2019:21:18:32 +0700] "GET /catalog/view/javascript/jquery/swiper/css/opencart.css HTTP/1.1" 200 1916
